"ServerName","LastStatus","LastCheckTime","DownSince","LastDownAlertTime"
"CLIENT1-W10","False","5/14/2024 1:05:18 AM","5/14/2024 1:05:18 AM","5/14/2024 1:05:18 AM"
"CLIENT2-W10","True","5/14/2024 1:05:18 AM","",""
